Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;ro_w;ro_a;x1;x2;x3;estado;GOR;u1;w_inj
8779069,737670977;4754825,647987991;8.75911e+06;1.37941e+07;1.40007;9.02873;10,879785482536874;1,8516255691271515;9,028159913409722;0.451436;245,61933958141103;98,22680418762386;2094,542375638517;721,0199430582319;3515,5505817279422;1;0,05;0,6;1,4000000000000001
8811102,795265466;4915884,752133543;8.78513e+06;1.3827e+07;1.60007;8.90471;10,949588334991486;2,045423820153506;8,90416451483798;0.445236;235,03970882683294;98,58521401575896;2102,1849389803965;757,3186275320364;3296,7689059133413;1;0,05;0,6;1,6
8848526,715907244;5066846,963309874;8.8158e+06;1.3864e+07;1.80007;8.76302;11,000818558389156;2,2383373852841326;8,762481173105025;0.438151;225,5661414280232;99,0039408552371;2111,1136740273896;791,6374629516617;3099,0450370188596;1;0,05;0,6;1,8
8890071,309075737;5209140,788422604;8.84985e+06;1.3904e+07;2.00007;8.60743;11,037459664779577;2,4305560213845174;8,60690364339506;0.430371;217,00288147840078;99,46877286365657;2121,0255341071293;824,240381282222;2918,7385430640047;1;0,05;0,6;2,0
8340781,127190805;2968702,103700772;8.34035e+06;1.33469e+07;0.200005;10.5711;11,296026337696981;0,7289759696119416;10,56705036808504;0.528553;344,33657946496896;93,32290311316642;1989,973885486167;383,2856483700738;5556,0113371731;1;0,05;0,7000000000000001;0,2
8185355,97484681;3186473,0751632955;8.18361e+06;1.32112e+07;0.40001;10.9964;11,94929245194122;0,9494167367177021;10,999875715223517;0.549818;314,5926015434607;91,58389015834105;1952,89198756848;431,13678506743037;4995,120549905453;1;0,05;0,7000000000000001;0,4
8095843,279682071;3372436,3051601704;8.09187e+06;1.31373e+07;0.599958;11.2214;12,383623542312678;1,1608340664178531;11,222789475894825;0.561069;292,09578872447435;90,58235511613441;1931,5357233192456;472,28002782193175;4565,9405415893425;1;0,05;0,7000000000000001;0,6000000000000001
8045258,262315619;3537798,306838289;8.03815e+06;1.30992e+07;0.799921;11.3355;12,6962652257851;1,3674639598836325;11,328801265901467;0.566773;274,0151691074162;90,01637207417713;1919,4669659665385;509,0569713711801;4217,29963704239;1;0,05;0,7000000000000001;0,8
8023218,7071857415;3687466,1496985885;8.01208e+06;1.30872e+07;0.999961;11.3713;12,935489596435621;1,5691138554607589;11,366375740974863;0.568564;259,2105559821383;89,76977703269623;1914,2086887755436;542,3456372201262;3928,653279472976;1;0,05;0,7000000000000001;1,0
8019399,498356822;3825703,6343425424;8.00335e+06;1.30913e+07;1.19998;11.359;13,123621073190009;1,7684085279465094;11,3552125452435;0.567951;246,6034202055694;89,72704486527988;1913,2974880478334;573,1653067867816;3680,379154064149;1;0,05;0,7000000000000001;1,2
8028992,174649416;3954784,087841585;8.00717e+06;1.3107e+07;1.4;11.3122;13,275101522524894;1,966002699787712;11,309098822737182;0.565608;235,66707862772066;89,8343749086653;1915,5861436333341;602,0007857611357;3462,9079493498416;1;0,05;0,7000000000000001;1,4000000000000001
8048772,45405123;4076295,675241269;8.02035e+06;1.31313e+07;1.60001;11.2394;13,399219791221041;2,162317873986324;11,236901917234716;0.561972;226,04340152340345;90,05569148201945;1920,3053946071918;629,1927971280328;3269,7217339854365;1;0,05;0,7000000000000001;1,6
8076478,61244351;4191408,4884754615;8.04062e+06;1.3162e+07;1.80002;11.1468;13,502279850812652;2,3576506285836554;11,144629222228998;0.557339;217,47677379204848;90,36568872278768;1926,915630606317;654,9936759349962;3096,1591902976634;1;0,05;0,7000000000000001;1,8
