Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;wrh;wtg;wto;ro_w;ro_a;ro_r;Prh;Pm;x1;x2;x3;x4;x5;estado;GOR;u1;w_inj
7878293,589116672;7162540,012745493;7.83289e+06;1.19735e+07;0.200056;24.6852;25,62203058095139;0,9409700722219798;24,68106050872755;0.740556;25,61886234436312;0,9409712419786115;24,677891102377234;799,1471213100534;88,1482463215705;612,5133888504203;2010715,2940615916;5015093,466372903;1879,6319272096182;506,2218493038623;13277,884666411752;129,34889509161854;3392,301278593524;1;0,03;0,7000000000000001;0,2
8009919,013344568;7061354,8624970475;7.83136e+06;1.18169e+07;0.400032;25.7819;26,976641055001792;1,1716352295850716;25,805005825414664;0.773458;26,99327055067113;1,1716296642340138;25,821640886428074;760,7191187767659;89,62097010188886;519,1747630304714;2014034,5160610005;4560586,728725463;1911,0355994658844;569,8765164711641;12551,403761146154;129,5624199498893;2855,436647304292;1;0,03;0,7000000000000001;0,4
8260400,208967448;7020364,9553310815;7.87094e+06;1.17213e+07;0.599962;26.4507;27,85671035263131;1,3923922289521846;26,464318123676904;0.79352;27,865227770115894;1,3923891163519873;26,472838653753175;727,6756412406064;92,42354122734024;451,67958334266825;2017190,7464343228;4232679,102730111;1970,7963137795525;627,3667253217935;11923,962410806818;129,7654595908815;2467,1695822930587;1;0,03;0,7000000000000001;0,6000000000000001
8598304,025851935;7015288,167020357;7.93314e+06;1.16658e+07;0.799945;26.8395;28,455914677935883;1,6041512660552648;26,85176341187826;0.805186;28,46258788093669;1,6041485925606926;26,858439288363655;699,0764678307147;96,20426208355197;401,0565286181326;2020199,6190330416;3987381,891904982;2051,4146349118682;679,7501822327603;11378,28548886137;129,95901973699725;2175,9184016796953;1;0,03;0,7000000000000001;0,8
8999664,940599242;7030372,582992899;8.00673e+06;1.16336e+07;0.999917;27.0645;28,87982768371124;1,8115360696500526;27,0682916140587;0.811934;28,881658392263898;1,8115351988283412;27,070123193421637;673,530400161314;100,6949884542816;360,8918958748123;2023113,575035134;3793288,324301088;2147,1727811600945;728,7213133635618;10888,682453513171;130,1464739182677;1944,804100100064;1;0,03;0,7000000000000001;1,0
9448897,825202014;7058900,823403308;8.08703e+06;1.16187e+07;1.19991;27.1688;29,18493822052962;2,0148663843225805;27,170071836204436;0.815065;29,185458986233982;2,014866051879323;27,1705929343392;650,5859986610157;105,72134226044317;328,3438459104778;2025942,0429786092;3636468,607169503;2254,352396022165;774,7187490684531;10446,92800913509;130,32842867057454;1757,4868959042499;1;0,03;0,7000000000000001;1,2
9934020,27784668;7096077,856909259;8.17086e+06;1.16158e+07;1.39991;27.1896;29,405839858204594;2,2155257296247264;27,19031412857716;0.815687;29,406123631353438;2,215525498990485;27,190598132345976;629,7085077218272;111,14925542058741;301,27343225862217;2028702,1693396496;3506448,354568192;2370,094674509579;818,3416439152651;10043,19925741564;130,505987023151;1601,66779783332;1;0,03;0,7000000000000001;1,4000000000000001
10446359,66164251;7139007,298438539;8.25636e+06;1.16215e+07;1.59991;27.1496;29,564477160257983;2,414339725275008;27,15013743498017;0.814487;29,564673650012896;2,414339533142057;27,150334116852367;610,5345324407479;116,88169198089336;278,32530534217693;2031404,6157950738;3396590,2384984517;2492,3304673822736;859,9838418571534;9670,834329507794;130,6798348394409;1469,5535277958536;1;0,03;0,7000000000000001;1,6
10979585,275938857;7185854,275855021;8.34245e+06;1.16338e+07;1.79991;27.0636;29,67584006970639;2,611768611695397;27,064071458008087;0.811908;29,67598923138072;2,6117684412721665;27,064220790088594;592,8098443251683;122,84781932335449;258,5919409026759;2034056,140101925;3302449,6102295504;2619,549373062806;899,9097649488642;9325,183737668642;130,85040684454412;1355,9258337575666;1;0,03;0,7000000000000001;1,8
11529008,97077102;7235377,878113671;8.4284e+06;1.16511e+07;1.99991;26.942;29,750566609158412;2,8081265426372726;26,942440066518145;0.808261;29,75068590798435;2,8081263862396235;26,942559521723293;576,3386262772118;128,99518291664285;241,42417478553656;2036661,7515740418;3220847,3288970985;2750,632875688125;938,3201466842983;9002,669192929507;131,01802528657404;1257,0520194531405;1;0,03;0,7000000000000001;2,0
7367805,591911565;6439086,080364379;7.31932e+06;1.14402e+07;0.199934;28.4183;29,47287535042292;1,0523209525330448;28,42055439788769;0.85255;29,474314449623424;1,0523200894574303;28,42199436015787;780,8494945846934;82,43652446037919;631,0827729675307;2013765,788728319;5109226,790134057;1757,8378448807316;480,8890906487912;12987,610412238315;129,54513277667988;3498,8698496320444;1;0,03;0,8;0,2
7459327,731542934;6245323,178982443;7.26755e+06;1.12365e+07;0.400077;29.8443;31,13792182912563;1,2955326593724141;29,842389169750778;0.895328;31,136765425974133;1,295533340561462;29,84123208540269;740,1966202795082;83,46054267153697;542,6239053840774;2017866,8531108284;4679437,109019728;1779,6735296964516;531,1995769711738;12236,097938634717;129,8089533922309;2990,0111279745265;1;0,03;0,8;0,4
7689185,625416022;6132871,290193678;7.27083e+06;1.11124e+07;0.599937;30.7133;32,23990300210609;1,5210031091722847;30,71889989293116;0.9214;32,24314439808225;1,5210015361126425;30,722142861957913;706,3293530893751;86,0323648585233;479,5145754630969;2021680,683213259;4373699,675859749;1834,513861699547;574,7718778931014;11608,365342447365;130,05429628651012;2626,918234768741;1;0,03;0,8;0,6000000000000001
